6-01-23 17:48:00 | INFO | ================================================================================
2026-01-23 17:48:00 | INFO | Redis context cache ENABLED - DB: 1
2026-01-23 17:48:00 | INFO | ================================================================================
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_87_9fb61f91: filename=Contents.json, file_path=ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_88_3efc9f2f: filename=Contents.json, file_path=ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_89_fe9c3e73: filename=Contents.json, file_path=ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_97_88ea02af: filename=Contents.json, file_path=ios/TaskWarriorWidgets/Assets.xcassets/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_98_adfde414: filename=Contents.json, file_path=ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_99_d8af7ab4: filename=Contents.json, file_path=ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_100_964250cf: filename=Contents.json, file_path=ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_101_2d96f73b: filename=Contents.json, file_path=ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | AMBIGUITY DETECTED - Preserving ambiguity flags for chunk taskwarrior-flutter_code_333_be5b93a1: filename=Contents.json, file_path=macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json, paths=['ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json', 'ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AccentColor.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/AppIcon.appiconset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/WidgetBackground.colorset/Contents.json', 'ios/TaskWarriorWidgets/Assets.xcassets/taskwarrior.imageset/Contents.json', 'macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json']
2026-01-23 17:48:03 | WARNING | CODE_LOCATION | Ambiguous filename detected — stopping retrieval before context building
2026-01-23 17:48:03 | INFO | RETRIEVAL | Retrieved 1 chunks from GitHub
2026-01-23 17:48:03 | INFO | CHUNK 1 | File: N/A, Score: 0.0000, Type: N/A
2026-01-23 17:48:03 | WARNING | RETRIEVAL | Only 1 results retrieved, may be insufficient
2026-01-23 17:48:03 | INFO | CONTEXT | Built context: 88 characters from 1 chunks
2026-01-23 17:48:03 | INFO | LLM GENERATION | Started
2026-01-23 17:48:05 | INFO | LLM GENERATION | Completed, Length: 310 chars
2026-01-23 17:48:05 | INFO | VERIFICATION | Starting response verification
2026-01-23 17:48:07 | INFO | VERIFICATION | Response refined: 310 -> 220 chars
2026-01-23 17:48:07 | INFO | RESPONSE COMPLETE | Quality: 0.00, Sources: 1, Emails: 0
2026-01-23 17:48:07 | INFO | ================================================================================
2026-01-23 17:48:07 | INFO | CONVERSATION_STORE | Saved main response to session b620f40c...
